Category,Level1,Level2,Level3,Level4,Federal,GovXFer,State,Local,Total
Industrial Technology Services,Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),Industrial Technology Services,0,0,0,0,0
National Network for Manufacturing Innovation,Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),National Network for Manufacturing Innovation,0,0,0,0,0
Salaries and Expenses,Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),Salaries and Expenses,0,0,0,0,0
State and Local Implementation Fund,Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),State and Local Implementation Fund,0,0,0,0,0
Salaries and Expenses,Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),Salaries and Expenses,0,0,0,0,0
"Broadband Technology Opportunities Program, Recovery Act",Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),"Broadband Technology Opportunities Program, Recovery Act",0,0,0,0,0
Incentive Auction Relocation Fund,Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),Incentive Auction Relocation Fund,0,0,0,0,0
Public Safety Trust Fund,Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),Public Safety Trust Fund,0,0,0,0,0
Salaries and Expenses,Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),Salaries and Expenses,0,0,0,0,0
Periodic Censuses and Programs,Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),Periodic Censuses and Programs,0,0,0,0,0
Salaries and Expenses,Other Spending,Economic affairs n.e.c.,Other advancement of commerce (376),Salaries and Expenses,0,0,0,0,0
Proceeds from Sale of Securities from the AIG Credit Facility Trust,Other Spending,Economic affairs n.e.c.,Sale of major assets (954),Proceeds from Sale of Securities from the AIG Credit Facility Trust,0,0,0,0,0
Asset Sale Proceeds,Other Spending,Economic affairs n.e.c.,Sale of major assets (954),Asset Sale Proceeds,0,0,0,0,0
Auction Receipts,Other Spending,Economic affairs n.e.c.,Other undistributed offsetting receipts (959),Auction Receipts,0,0,0,0,0
Spectrum License User Fees,Other Spending,Economic affairs n.e.c.,Other undistributed offsetting receipts (959),Spectrum License User Fees,0,0,0,0,0
"Current Operations  Miscellaneous Commercial Activities, NEC (E03)",Other Spending,Economic affairs n.e.c.,"Current Operations  Miscellaneous Commercial Activities, NEC (E03)",,0,0,0,0,0
"Construction  Miscellaneous Commercial Activities, NEC (F03)",Other Spending,Economic affairs n.e.c.,"Construction  Miscellaneous Commercial Activities, NEC (F03)",,0,0,0,0,0
"Other Capital Outlay  Miscellaneous Commercial Activities, NEC (G03)",Other Spending,Economic affairs n.e.c.,"Other Capital Outlay  Miscellaneous Commercial Activities, NEC (G03)",,0,0,0,0,0
Current Operations  Solid Waste Management (E81),Other Spending,Waste management,Current Operations  Solid Waste Management (E81),,0,0,0,0,0
Construction  Solid Waste Management (F81),Other Spending,Waste management,Construction  Solid Waste Management (F81),,0,0,0,0,0
Other Capital Outlay  Solid Waste Management (G81),Other Spending,Waste management,Other Capital Outlay  Solid Waste Management (G81),,0,0,0,0,0
Federal Intergovernmental  Sewerage (B80),Other Spending,Waste water management,Federal Intergovernmental  Sewerage (B80),,0,0,0,0,0
Current Operations  Sewerage (E80),Other Spending,Waste water management,Current Operations  Sewerage (E80),,0,0,0,0,0
Construction  Sewerage (F80),Other Spending,Waste water management,Construction  Sewerage (F80),,0,0,0,0,0
Other Capital Outlay  Sewerage (G80),Other Spending,Waste water management,Other Capital Outlay  Sewerage (G80),,0,0,0,0,0
State and Tribal Assistance Grants,Other Spending,Pollution abatement,Pollution control and abatement (304),State and Tribal Assistance Grants,0,0,0,0,0
Science and Technology,Other Spending,Pollution abatement,Pollution control and abatement (304),Science and Technology,0,0,0,0,0
Environmental Programs and Management,Other Spending,Pollution abatement,Pollution control and abatement (304),Environmental Programs and Management,0,0,0,0,0
Payment to the Hazardous Substance Superfund,Other Spending,Pollution abatement,Pollution control and abatement (304),Payment to the Hazardous Substance Superfund,0,0,0,0,0
Working Capital Fund,Other Spending,Pollution abatement,Pollution control and abatement (304),Working Capital Fund,0,0,0,0,0
"Recoveries, Hazardous Substance Superfund",Other Spending,Pollution abatement,Pollution control and abatement (304),"Recoveries, Hazardous Substance Superfund",0,0,0,0,0
"Interfund Transactions, Hazardous Substance Superfund",Other Spending,Pollution abatement,Pollution control and abatement (304),"Interfund Transactions, Hazardous Substance Superfund",0,0,0,0,0
Hazardous Substance Superfund,Other Spending,Pollution abatement,Pollution control and abatement (304),Hazardous Substance Superfund,0,0,0,0,0
Hazardous Substance Superfund,Other Spending,Pollution abatement,Pollution control and abatement (304),Hazardous Substance Superfund,0,0,0,0,0
Leaking Underground Storage Tank Trust Fund,Other Spending,Pollution abatement,Pollution control and abatement (304),Leaking Underground Storage Tank Trust Fund,0,0,0,0,0
Maritime Oil Spill Programs,Other Spending,Pollution abatement,Pollution control and abatement (304),Maritime Oil Spill Programs,0,0,0,0,0
Rent and Bonuses from Land Leases for Resource Exploration and Extraction,Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Rent and Bonuses from Land Leases for Resource Exploration and Extraction,0,0,0,0,0
"Royalties on Natural Resources, not Otherwise Classified",Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),"Royalties on Natural Resources, not Otherwise Classified",0,0,0,0,0
"Reclamation Fund, Royalties on Natural Resources",Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),"Reclamation Fund, Royalties on Natural Resources",0,0,0,0,0
"Receipts from Mineral Leasing, Public Lands",Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),"Receipts from Mineral Leasing, Public Lands",0,0,0,0,0
"Payment from the General Fund, Cooperative Endangered Species Conservation Fund",Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),"Payment from the General Fund, Cooperative Endangered Species Conservation Fund",0,0,0,0,0
Natural Resources Damages from Legal Actions,Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Natural Resources Damages from Legal Actions,0,0,0,0,0
"Land Sales, Southern Nevada Public Land Management",Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),"Land Sales, Southern Nevada Public Land Management",0,0,0,0,0
Resource Management,Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Resource Management,0,0,0,0,0
State and Tribal Wildlife Grants,Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),State and Tribal Wildlife Grants,0,0,0,0,0
Land Acquisition,Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Land Acquisition,0,0,0,0,0
Cooperative Endangered Species Conservation Fund,Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Cooperative Endangered Species Conservation Fund,0,0,0,0,0
Cooperative Endangered Species Conservation Fund,Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Cooperative Endangered Species Conservation Fund,0,0,0,0,0
Offshore Safety and Environmental Enforcement,Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Offshore Safety and Environmental Enforcement,0,0,0,0,0
Management of Lands and Resources,Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Management of Lands and Resources,0,0,0,0,0
Oregon and California Grant Lands,Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Oregon and California Grant Lands,0,0,0,0,0
Permanent Operating Funds,Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Permanent Operating Funds,0,0,0,0,0
Ocean Energy Management,Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Ocean Energy Management,0,0,0,0,0
Operation of Indian Programs,Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Operation of Indian Programs,0,0,0,0,0
Regulation and Technology,Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Regulation and Technology,0,0,0,0,0
Payments to States in Lieu of Coal Fee Receipts,Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Payments to States in Lieu of Coal Fee Receipts,0,0,0,0,0
Abandoned Mine Reclamation Fund,Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Abandoned Mine Reclamation Fund,0,0,0,0,0
Wildland Fire Management,Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Wildland Fire Management,0,0,0,0,0
Natural Resource Damage Assessment Fund,Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Natural Resource Damage Assessment Fund,0,0,0,0,0
National Forest Fund,Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),National Forest Fund,0,0,0,0,0
"National Forests Fund, Payments to States",Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),"National Forests Fund, Payments to States",0,0,0,0,0
National Grasslands,Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),National Grasslands,0,0,0,0,0
Commodity Credit Corporation Fund,Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Commodity Credit Corporation Fund,0,0,0,0,0
Conservation Operations,Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Conservation Operations,0,0,0,0,0
Farm Security and Rural Investment Programs,Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Farm Security and Rural Investment Programs,0,0,0,0,0
Farm Security and Rural Investment Programs,Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Farm Security and Rural Investment Programs,0,0,0,0,0
Capital Improvement and Maintenance,Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Capital Improvement and Maintenance,0,0,0,0,0
Forest and Rangeland Research,Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Forest and Rangeland Research,0,0,0,0,0
State and Private Forestry,Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),State and Private Forestry,0,0,0,0,0
State and Private Forestry,Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),State and Private Forestry,0,0,0,0,0
National Forest System,Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),National Forest System,0,0,0,0,0
Wildland Fire Management,Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Wildland Fire Management,0,0,0,0,0
Forest Service Permanent Appropriations,Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Forest Service Permanent Appropriations,0,0,0,0,0
Land Acquisition,Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Land Acquisition,0,0,0,0,0
Forest Service Trust Funds,Other Spending,Protection of biodiversity and landscape,Conservation and land management (302),Forest Service Trust Funds,0,0,0,0,0
R&D Environmental protection,Other Spending,R&D Environmental protection,,,0,0,0,0,0
Environmental protection n.e.c.,Other Spending,Environmental protection n.e.c.,,,0,0,0,0,0
GSE Fees Pursuant to P.L. 11278 Sec. 401,Other Spending,Housing development,Mortgage credit (371),GSE Fees Pursuant to P.L. 11278 Sec. 401,0,0,0,0,0
"Proceeds, GSE Equity Related Transactions",Other Spending,Housing development,Mortgage credit (371),"Proceeds, GSE Equity Related Transactions",0,0,0,0,0
GSE Preferred Stock Purchase Agreements,Other Spending,Housing development,Mortgage credit (371),GSE Preferred Stock Purchase Agreements,0,0,0,0,0
"FHAgeneral and Special Risk, Negative Subsidies",Other Spending,Housing development,Mortgage credit (371),"FHAgeneral and Special Risk, Negative Subsidies",0,0,0,0,0
"GNMAguarantees of Mortgage Backed Securities Guarantee Loans, Negative Subsidies",Other Spending,Housing development,Mortgage credit (371),"GNMAguarantees of Mortgage Backed Securities Guarantee Loans, Negative Subsidies",0,0,0,0,0
Guarantees of Mortgagebacked Securities Loan Guarantee Program Account,Other Spending,Housing development,Mortgage credit (371),Guarantees of Mortgagebacked Securities Loan Guarantee Program Account,0,0,0,0,0
Guarantees of Mortgagebacked Securities Liquidating Account,Other Spending,Housing development,Mortgage credit (371),Guarantees of Mortgagebacked Securities Liquidating Account,0,0,0,0,0
FHAmutual Mortgage Insurance Program Account,Other Spending,Housing development,Mortgage credit (371),FHAmutual Mortgage Insurance Program Account,0,0,0,0,0
FHAmutual Mortgage Insurance Capital Reserve Account,Other Spending,Housing development,Mortgage credit (371),FHAmutual Mortgage Insurance Capital Reserve Account,0,0,0,0,0
FHAmutual Mortgage Insurance Capital Reserve Account,Other Spending,Housing development,Mortgage credit (371),FHAmutual Mortgage Insurance Capital Reserve Account,0,0,0,0,0
FHAmutual Mortgage and Cooperative Housing Insurance Funds Liquidating Account,Other Spending,Housing development,Mortgage credit (371),FHAmutual Mortgage and Cooperative Housing Insurance Funds Liquidating Account,0,0,0,0,0
FHAgeneral and Special Risk Insurance Funds Liquidating Account,Other Spending,Housing development,Mortgage credit (371),FHAgeneral and Special Risk Insurance Funds Liquidating Account,0,0,0,0,0
Housing for the Elderly or Handicapped Fund Liquidating Account,Other Spending,Housing development,Mortgage credit (371),Housing for the Elderly or Handicapped Fund Liquidating Account,0,0,0,0,0
"Federal Housing Finance Agency, Administrative Expenses",Other Spending,Housing development,Mortgage credit (371),"Federal Housing Finance Agency, Administrative Expenses",0,0,0,0,0
"Rural Housing Insurance, Negative Subsidies",Other Spending,Housing development,Mortgage credit (371),"Rural Housing Insurance, Negative Subsidies",0,0,0,0,0
Rural Housing Insurance Fund Program Account,Other Spending,Housing development,Mortgage credit (371),Rural Housing Insurance Fund Program Account,0,0,0,0,0
Rural Housing Insurance Fund Liquidating Account,Other Spending,Housing development,Mortgage credit (371),Rural Housing Insurance Fund Liquidating Account,0,0,0,0,0
Community Development Financial Institutions Fund Program Account,Other Spending,Community development,Community development (451),Community Development Financial Institutions Fund Program Account,0,0,0,0,0
Research and Technology,Other Spending,Community development,Community development (451),Research and Technology,0,0,0,0,0
Lead Hazard Reduction,Other Spending,Community development,Community development (451),Lead Hazard Reduction,0,0,0,0,0
Office of Inspector General,Other Spending,Community development,Community development (451),Office of Inspector General,0,0,0,0,0
Community Planning and Development Personnel Compensation and Benefits,Other Spending,Community development,Community development (451),Community Planning and Development Personnel Compensation and Benefits,0,0,0,0,0
Transformation Initiative,Other Spending,Community development,Community development (451),Transformation Initiative,0,0,0,0,0
Working Capital Fund,Other Spending,Community development,Community development (451),Working Capital Fund,0,0,0,0,0
Community Development Fund,Other Spending,Community development,Community development (451),Community Development Fund,0,0,0,0,0
Neighborhood Stabilization Program,Other Spending,Community development,Community development (451),Neighborhood Stabilization Program,0,0,0,0,0
Payment to Neighborhood Reinvestment Corporation,Other Spending,Community development,Community development (451),Payment to Neighborhood Reinvestment Corporation,0,0,0,0,0
"Return of Principal from Private Sector Investments, Tribal Special Fund",Other Spending,Community development,Area and regional development (452),"Return of Principal from Private Sector Investments, Tribal Special Fund",0,0,0,0,0
"Power Revenues, Indian Irrigation Projects",Other Spending,Community development,Area and regional development (452),"Power Revenues, Indian Irrigation Projects",0,0,0,0,0
"Return of Principal from Private Sector Investments, Tribal Trust Fund",Other Spending,Community development,Area and regional development (452),"Return of Principal from Private Sector Investments, Tribal Trust Fund",0,0,0,0,0
Operation of Indian Programs,Other Spending,Community development,Area and regional development (452),Operation of Indian Programs,0,0,0,0,0
Operation of Indian Programs,Other Spending,Community development,Area and regional development (452),Operation of Indian Programs,0,0,0,0,0
Construction,Other Spending,Community development,Area and regional development (452),Construction,0,0,0,0,0
Miscellaneous Permanent Appropriations,Other Spending,Community development,Area and regional development (452),Miscellaneous Permanent Appropriations,0,0,0,0,0
Trust Land Consolidation Fund,Other Spending,Community development,Area and regional development (452),Trust Land Consolidation Fund,0,0,0,0,0
Tribal Special Fund,Other Spending,Community development,Area and regional development (452),Tribal Special Fund,0,0,0,0,0
Tribal Trust Fund,Other Spending,Community development,Area and regional development (452),Tribal Trust Fund,0,0,0,0,0
Appalachian Regional Commission,Other Spending,Community development,Area and regional development (452),Appalachian Regional Commission,0,0,0,0,0
National Infrastructure Bank Program Account,Other Spending,Community development,Area and regional development (452),National Infrastructure Bank Program Account,0,0,0,0,0
Salaries and Expenses,Other Spending,Community development,Area and regional development (452),Salaries and Expenses,0,0,0,0,0
"Distance Learning, Telemedicine, and Broadband Program",Other Spending,Community development,Area and regional development (452),"Distance Learning, Telemedicine, and Broadband Program",0,0,0,0,0
"Distance Learning, Telemedicine, and Broadband Program",Other Spending,Community development,Area and regional development (452),"Distance Learning, Telemedicine, and Broadband Program",0,0,0,0,0
Rural Water and Waste Disposal Program Account,Other Spending,Community development,Area and regional development (452),Rural Water and Waste Disposal Program Account,0,0,0,0,0
Rural Water and Waste Disposal Program Account,Other Spending,Community development,Area and regional development (452),Rural Water and Waste Disposal Program Account,0,0,0,0,0
Rural Development Insurance Fund Liquidating Account,Other Spending,Community development,Area and regional development (452),Rural Development Insurance Fund Liquidating Account,0,0,0,0,0
Rural Community Facilities Program Account,Other Spending,Community development,Area and regional development (452),Rural Community Facilities Program Account,0,0,0,0,0
Rural Business Program Account,Other Spending,Community development,Area and regional development (452),Rural Business Program Account,0,0,0,0,0
Energy Assistance Payments,Other Spending,Community development,Area and regional development (452),Energy Assistance Payments,0,0,0,0,0
Rural Economic Development Grants,Other Spending,Community development,Area and regional development (452),Rural Economic Development Grants,0,0,0,0,0
Biorefinery Assistance Program Account,Other Spending,Community development,Area and regional development (452),Biorefinery Assistance Program Account,0,0,0,0,0
Economic Development Assistance Programs,Other Spending,Community development,Area and regional development (452),Economic Development Assistance Programs,0,0,0,0,0
Office of Health Affairs,Other Spending,Community development,Disaster relief and insurance (453),Office of Health Affairs,0,0,0,0,0
National Protection and Programs Directorate,Other Spending,Community development,Disaster relief and insurance (453),National Protection and Programs Directorate,0,0,0,0,0
National Flood Insurance Fund,Other Spending,Community development,Disaster relief and insurance (453),National Flood Insurance Fund,0,0,0,0,0
Flood Hazard Mapping and Risk Analysis Program,Other Spending,Community development,Disaster relief and insurance (453),Flood Hazard Mapping and Risk Analysis Program,0,0,0,0,0
State and Local Programs,Other Spending,Community development,Disaster relief and insurance (453),State and Local Programs,0,0,0,0,0
Salaries and Expenses,Other Spending,Community development,Disaster relief and insurance (453),Salaries and Expenses,0,0,0,0,0
Disaster Relief,Other Spending,Community development,Disaster relief and insurance (453),Disaster Relief,0,0,0,0,0
Disaster Relief,Other Spending,Community development,Disaster relief and insurance (453),Disaster Relief,0,0,0,0,0
Disaster Assistance Direct Loan Program Account,Other Spending,Community development,Disaster relief and insurance (453),Disaster Assistance Direct Loan Program Account,0,0,0,0,0
Radiological Emergency Preparedness Program,Other Spending,Community development,Disaster relief and insurance (453),Radiological Emergency Preparedness Program,0,0,0,0,0
National Predisaster Mitigation Fund,Other Spending,Community development,Disaster relief and insurance (453),National Predisaster Mitigation Fund,0,0,0,0,0
First Responder Stabilization Fund,Other Spending,Community development,Disaster relief and insurance (453),First Responder Stabilization Fund,0,0,0,0,0
Disaster Loans Program Account,Other Spending,Community development,Disaster relief and insurance (453),Disaster Loans Program Account,0,0,0,0,0
Emergency Conservation Program,Other Spending,Community development,Disaster relief and insurance (453),Emergency Conservation Program,0,0,0,0,0
Current Operations  Parking Facilities (E60),Other Spending,Community development,Current Operations  Parking Facilities (E60),,0,0,0,0,0
Construction  Parking Facilities (F60),Other Spending,Community development,Construction  Parking Facilities (F60),,0,0,0,0,0
Other Capital Outlay  Parking Facilities (G60),Other Spending,Community development,Other Capital Outlay  Parking Facilities (G60),,0,0,0,0,0
"Reclamation Fund, Other Proprietary Receipts from the Public",Other Spending,Water supply,Water resources (301),"Reclamation Fund, Other Proprietary Receipts from the Public",0,0,0,0,0
"Revenues, Colorado River Dam Fund, Boulder Canyon Project",Other Spending,Water supply,Water resources (301),"Revenues, Colorado River Dam Fund, Boulder Canyon Project",0,0,0,0,0
Policy and Administration,Other Spending,Water supply,Water resources (301),Policy and Administration,0,0,0,0,0
Reclamation Water Settlements Fund,Other Spending,Water supply,Water resources (301),Reclamation Water Settlements Fund,0,0,0,0,0
"Colorado River Dam Fund, Boulder Canyon Project",Other Spending,Water supply,Water resources (301),"Colorado River Dam Fund, Boulder Canyon Project",0,0,0,0,0
Water and Related Resources,Other Spending,Water supply,Water resources (301),Water and Related Resources,0,0,0,0,0
Mississippi River and Tributaries,Other Spending,Water supply,Water resources (301),Mississippi River and Tributaries,0,0,0,0,0
Investigations,Other Spending,Water supply,Water resources (301),Investigations,0,0,0,0,0
Construction,Other Spending,Water supply,Water resources (301),Construction,0,0,0,0,0
Operation and Maintenance,Other Spending,Water supply,Water resources (301),Operation and Maintenance,0,0,0,0,0
Expenses,Other Spending,Water supply,Water resources (301),Expenses,0,0,0,0,0
Flood Control and Coastal Emergencies,Other Spending,Water supply,Water resources (301),Flood Control and Coastal Emergencies,0,0,0,0,0
Regulatory Program,Other Spending,Water supply,Water resources (301),Regulatory Program,0,0,0,0,0
Coastal Wetlands Restoration Trust Fund,Other Spending,Water supply,Water resources (301),Coastal Wetlands Restoration Trust Fund,0,0,0,0,0
Inland Waterways Trust Fund,Other Spending,Water supply,Water resources (301),Inland Waterways Trust Fund,0,0,0,0,0
"Contributions, Rivers and Harbors, Other Than Port and Harbor User Fees",Other Spending,Water supply,Water resources (301),"Contributions, Rivers and Harbors, Other Than Port and Harbor User Fees",0,0,0,0,0
Rivers and Harbors Contributed Funds,Other Spending,Water supply,Water resources (301),Rivers and Harbors Contributed Funds,0,0,0,0,0
Harbor Maintenance Trust Fund,Other Spending,Water supply,Water resources (301),Harbor Maintenance Trust Fund,0,0,0,0,0
Watershed Rehabilitation Program,Other Spending,Water supply,Water resources (301),Watershed Rehabilitation Program,0,0,0,0,0
Watershed and Flood Prevention Operations,Other Spending,Water supply,Water resources (301),Watershed and Flood Prevention Operations,0,0,0,0,0
Federal Intergovernmental  Water Utilities (B91),Other Spending,Water supply,Federal Intergovernmental  Water Utilities (B91),,0,0,0,0,0
Current Operations  Water Utilities (E91),Other Spending,Water supply,Current Operations  Water Utilities (E91),,0,0,0,0,0
Construction  Water Utilities (F91),Other Spending,Water supply,Construction  Water Utilities (F91),,0,0,0,0,0
Other Capital Outlay  Water Utilities (G91),Other Spending,Water supply,Other Capital Outlay  Water Utilities (G91),,0,0,0,0,0
Water Utilities  Interest on Debt (I91),Other Spending,Water supply,Water Utilities  Interest on Debt (I91),,0,0,0,0,0
Street lighting,Other Spending,Street lighting,,,0,0,0,0,0
R&D Housing and community amenities,Other Spending,R&D Housing and community amenities,,,0,0,0,0,0
Housing and community amenities n.e.c.,Other Spending,Housing and community amenities n.e.c.,,,0,0,0,0,0
"Recreation Enhancement Fee, National Park System",Other Spending,Recreational and sporting services,Recreational resources (303),"Recreation Enhancement Fee, National Park System",0,0,0,0,0
Park Concessions Franchise Fees,Other Spending,Recreational and sporting services,Recreational resources (303),Park Concessions Franchise Fees,0,0,0,0,0
Federal Aid in Wildlife Restoration,Other Spending,Recreational and sporting services,Recreational resources (303),Federal Aid in Wildlife Restoration,0,0,0,0,0
Migratory Bird Conservation Account,Other Spending,Recreational and sporting services,Recreational resources (303),Migratory Bird Conservation Account,0,0,0,0,0
Sport Fish Restoration,Other Spending,Recreational and sporting services,Recreational resources (303),Sport Fish Restoration,0,0,0,0,0
Operation of the National Park System,Other Spending,Recreational and sporting services,Recreational resources (303),Operation of the National Park System,0,0,0,0,0
Construction (and Major Maintenance),Other Spending,Recreational and sporting services,Recreational resources (303),Construction (and Major Maintenance),0,0,0,0,0
National Recreation and Preservation,Other Spending,Recreational and sporting services,Recreational resources (303),National Recreation and Preservation,0,0,0,0,0
Land Acquisition and State Assistance,Other Spending,Recreational and sporting services,Recreational resources (303),Land Acquisition and State Assistance,0,0,0,0,0
Historic Preservation Fund,Other Spending,Recreational and sporting services,Recreational resources (303),Historic Preservation Fund,0,0,0,0,0
Other Permanent Appropriations,Other Spending,Recreational and sporting services,Recreational resources (303),Other Permanent Appropriations,0,0,0,0,0
Recreation Fee Permanent Appropriations,Other Spending,Recreational and sporting services,Recreational resources (303),Recreation Fee Permanent Appropriations,0,0,0,0,0
"Recreational Fee Demonstration Program, Forest Service",Other Spending,Recreational and sporting services,Recreational resources (303),"Recreational Fee Demonstration Program, Forest Service",0,0,0,0,0
Forest Service Permanent Appropriations,Other Spending,Recreational and sporting services,Recreational resources (303),Forest Service Permanent Appropriations,0,0,0,0,0
Current Operations  Parks and Recreation (E61),Other Spending,Recreational and sporting services,Current Operations  Parks and Recreation (E61),,0,0,0,0,0
Construction  Parks and Recreation (F61),Other Spending,Recreational and sporting services,Construction  Parks and Recreation (F61),,0,0,0,0,0
Other Capital Outlay  Parks and Recreation (G61),Other Spending,Recreational and sporting services,Other Capital Outlay  Parks and Recreation (G61),,0,0,0,0,0
Cultural services,Other Spending,Cultural services,,,0,0,0,0,0
Broadcasting and publishing services,Other Spending,Broadcasting and publishing services,,,0,0,0,0,0
Religious and other community services,Other Spending,Religious and other community services,,,0,0,0,0,0
"R&D Recreation, culture and religion",Other Spending,"R&D Recreation, culture and religion",,,0,0,0,0,0
"Recreation, culture and religion n.e.c.",Other Spending,"Recreation, culture and religion n.e.c.",,,0,0,0,0,0
R&D General public services,Other Spending,R&D General public services,,,0,0,0,0,0
Deductions for offsetting receipts (809),Other Spending,General public services n.e.c.,Deductions for offsetting receipts (809),,0,0,0,0,0
General revenue sharing (851),Other Spending,General public services n.e.c.,General revenue sharing (851),,0,0,0,0,0
Other general purpose fiscal assistance (852),Other Spending,General public services n.e.c.,Other general purpose fiscal assistance (852),,0,0,0,0,0
Central Federal credit activities (871),Other Spending,General public services n.e.c.,Central Federal credit activities (871),,0,0,0,0,0
Financial stabilization efforts (891),Other Spending,General public services n.e.c.,Financial stabilization efforts (891),,0,0,0,0,0
Disaster costs (892),Other Spending,General public services n.e.c.,Disaster costs (892),,0,0,0,0,0
Bipartisan economic security plan (921),Other Spending,General public services n.e.c.,Bipartisan economic security plan (921),,0,0,0,0,0
Allowance for anticipated supplemental (922),Other Spending,General public services n.e.c.,Allowance for anticipated supplemental (922),,0,0,0,0,0
National emergency reserve (923),Other Spending,General public services n.e.c.,National emergency reserve (923),,0,0,0,0,0
Spectrum relocation (924),Other Spending,General public services n.e.c.,Spectrum relocation (924),,0,0,0,0,0
Debt collection initiatives (925),Other Spending,General public services n.e.c.,Debt collection initiatives (925),,0,0,0,0,0
Adjustment to certain passthrough accounts (926),Other Spending,General public services n.e.c.,Adjustment to certain passthrough accounts (926),,0,0,0,0,0
Contingent offset for the refundable portion of the health care tax credit (927),Other Spending,General public services n.e.c.,Contingent offset for the refundable portion of the health care tax credit (927),,0,0,0,0,0
Contingencies for other requirements (928),Other Spending,General public services n.e.c.,Contingencies for other requirements (928),,0,0,0,0,0
Other allowances (929),Other Spending,General public services n.e.c.,Other allowances (929),,0,0,0,0,0
Current Operations  General  Other (E89),Other Spending,General public services n.e.c.,Current Operations  General  Other (E89),,0,0,0,0,0
Construction  General  Other (F89),Other Spending,General public services n.e.c.,Construction  General  Other (F89),,0,0,0,0,0
Other Capital Outlay  General  Other (G89),Other Spending,General public services n.e.c.,Other Capital Outlay  General  Other (G89),,0,0,0,0,0
Federal Intergovernmental  All Other (B89),Other Spending,Transfers of a general character between,Federal Intergovernmental  All Other (B89),,0,0,0,0,0
Interest on Treasury Debt Securities (gross),Interest,Public debt transactions,Interest on Treasury debt securities (gross) (901),Interest on Treasury Debt Securities (gross),0,0,0,0,0
Interest Paid to Trust Fund Receipt Accounts  Shadow Account,Interest,Public debt transactions,Interest on Treasury debt securities (gross) (901),Interest Paid to Trust Fund Receipt Accounts  Shadow Account,0,0,0,0,0
Interest Paid to Expenditure Accounts  Shadow Account,Interest,Public debt transactions,Interest on Treasury debt securities (gross) (901),Interest Paid to Expenditure Accounts  Shadow Account,0,0,0,0,0
Interest Paid to Federal Fund Receipt Accounts  Shadow Account,Interest,Public debt transactions,Interest on Treasury debt securities (gross) (901),Interest Paid to Federal Fund Receipt Accounts  Shadow Account,0,0,0,0,0
"Interest Received by Trust Fund, FSMI Fund",Interest,Public debt transactions,Interest received by onbudget trust funds (902),"Interest Received by Trust Fund, FSMI Fund",0,0,0,0,0
"FHI Trust Fund, Interest Received by Trust Funds",Interest,Public debt transactions,Interest received by onbudget trust funds (902),"FHI Trust Fund, Interest Received by Trust Funds",0,0,0,0,0
